age,attend,authoritarianism,black,born,childs,colath,colrac,colcom,colmil,colhomo,colmslm,con_govt,egalit_scale,evangelical,grass,happy,hispanic_2,homosex,income06,mode,owngun,polviews,pornlaw2,pray,pres08,reborn_r,science_quiz,sex,sibs,social_connect,south,teensex,tolerance,tvhours,vetyears,wordsum,degree_HS,degree_Junior.Coll,degree_Bachelor.deg,degree_Graduate.deg,marital_Widowed,marital_Divorced,marital_Separated,marital_Never.married,news_FEW.TIMES.A.WEEK,news_ONCE.A.WEEK,news_LESS.THAN.ONCE.WK,news_NEVER,partyid_3_Ind,partyid_3_Rep,relig_CATHOLIC,relig_JEWISH,relig_NONE,relig_OTHER,relig_BUDDHISM,relig_HINDUISM,relig_OTHER.EASTERN,relig_MOSLEM.ISLAM,relig_ORTHODOX.CHRISTIAN,relig_CHRISTIAN,relig_NATIVE.AMERICAN,relig_INTER.NONDENOMINATIONAL,social_cons3_Mod,social_cons3_Conserv,spend3_Mod,spend3_Liberal,zodiac_TAURUS,zodiac_GEMINI,zodiac_CANCER,zodiac_LEO,zodiac_VIRGO,zodiac_LIBRA,zodiac_SCORPIO,zodiac_SAGITTARIUS,zodiac_CAPRICORN,zodiac_AQUARIUS,zodiac_PISCES
68,0,1,0,0,2,0,0,1,0,0,0,2,2,0,0,0,0,3,24,1,1,3,1,5,0,0,5,0,2,6,0,0,12,4,0,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
84,7,2,0,0,4,0,1,1,0,0,1,2,22,0,0,1,0,3,19,0,1,1,1,1,0,0,6,1,1,4,0,1,13,2,0,10,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
63,0,2,0,0,1,0,0,1,1,0,0,1,17,0,0,0,0,3,24,0,1,3,1,5,1,0,9,0,2,6,0,0,9,2,0,8,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,2,2,0,1,2,0,0,1,0,0,0,3,26,0,0,0,0,3,24,0,1,3,1,5,0,0,7,1,0,2,0,2,14,1,0,10,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
38,2,1,0,0,1,0,1,1,0,0,1,2,34,0,0,0,1,3,23,0,0,1,0,2,0,0,7,0,10,3,0,0,11,2,0,7,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
46,4,3,0,0,2,0,0,1,0,0,0,3,28,0,0,0,0,3,24,0,1,2,1,4,0,0,7,0,2,5,0,0,14,1,0,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
41,5,1,1,1,1,1,1,0,1,0,1,3,29,2,0,1,1,0,16,0,1,3,1,0,0,1,6,1,3,3,0,0,4,4,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
75,1,1,1,0,3,0,0,0,1,1,1,2,25,0,0,2,0,3,14,0,1,2,1,3,0,0,5,1,2,3,0,0,9,24,0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
81,0,1,1,1,5,1,1,0,1,0,1,3,28,2,0,1,1,0,7,0,1,4,0,2,0,1,3,1,5,4,0,0,12,3,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
41,7,4,0,1,6,1,1,1,0,1,1,4,32,2,1,0,1,0,6,0,1,5,0,2,1,1,2,1,7,1,0,1,5,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
67,4,1,1,0,2,0,1,1,1,0,1,2,25,0,0,2,0,3,19,1,1,3,1,1,0,0,6,1,4,4,0,0,9,5,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
71,7,3,1,0,2,0,0,1,0,0,1,3,18,2,1,1,0,0,14,0,1,3,1,0,0,1,6,0,15,5,0,0,10,7,0,6,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,0,3,0,1,2,1,1,0,1,1,0,3,29,0,1,1,0,0,24,0,1,3,1,0,0,0,4,0,4,2,0,0,4,5,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
45,6,4,1,0,1,0,1,1,0,0,0,4,22,0,0,2,0,3,17,0,1,3,1,0,0,0,9,1,3,5,0,0,12,3,0,8,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
35,6,4,1,1,2,1,1,0,1,0,1,2,23,2,1,2,0,0,20,0,1,5,1,1,0,1,5,0,6,1,0,0,3,5,0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
21,6,2,1,0,0,0,1,0,1,1,1,1,35,1,0,2,0,0,14,0,1,5,1,1,0,0,7,1,1,5,0,0,7,7,0,4,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
49,4,2,1,0,1,1,1,1,0,0,1,3,24,2,1,1,0,0,19,0,1,2,1,1,0,1,4,1,1,7,0,0,8,3,0,7,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
46,0,0,0,0,0,0,0,1,0,0,0,1,35,0,0,2,0,3,20,0,1,0,1,5,0,0,6,0,2,9,0,2,13,0,0,10,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
